Year,GDP_Growth,Inflation,Debt_GDP,FDI_GDP,Population,Exchange_Rate,Copper_Price,Population_growth,GDP_Lag1,Inflation_Lag1
1964-01-01,12.21404802,,,,3577017,0.714286,0.4032326693227096,,,
1965-01-01,16.64745596,,,,3692086,0.714286,0.489251012145749,3.2168983261751327,12.21404802,
1966-01-01,-5.570309809,,,,3812003,0.714286,0.6338212000000003,3.247947095490189,16.64745596,
1967-01-01,7.919696512,,,,3936343,0.714286,0.4918395161290324,3.2618022598618124,-5.570309809,
1968-01-01,1.248329982,,,,4065593,0.714286,0.5079804878048775,3.2835045116749173,7.919696512,
1969-01-01,-0.436915823,,,,4197116,0.714286,0.6194706122448982,3.2350262311057643,1.248329982,
1970-01-01,4.797112903,,,0.532206515,4321718,0.714286,0.6210475806451617,2.968752829323762,-0.436915823,
1971-01-01,-0.086039551,,,0.50929698,4442525,0.714285999,0.5210450592885376,2.795346665377063,4.797112903,
1972-01-01,9.208865142,,,1.548800559,4569309,0.000714317,0.5129517928286887,2.8538725161929346,-0.086039551,
1973-01-01,-0.962048756,,,1.314570449,4702693,0.000652397,0.595533730158729,2.9191284721606703,9.208865142,
1974-01-01,6.428158549,,,1.305401738,4842746,0.00064346,0.7714252964426894,2.978144650309944,-0.962048756,
1975-01-01,-2.269328924,,,1.555673369,4990086,0.00064323,0.6458667984189742,3.0424887037230564,6.428158549,
1976-01-01,6.220975267,,,1.13020746,5143842,0.000700984,0.693036758893279,3.081229461776802,-2.269328924,
1977-01-01,-4.564236174,,,1.70794944,5302480,0.000789728,0.6605059523809509,3.084037184656907,6.220975267,
1978-01-01,0.553763844,,,1.373160943,5465374,0.000800667,0.6563888888888884,3.0720342179508364,-4.564236174,
1979-01-01,-3.023931031,,,1.049666717,5631728,0.000793333,0.918607114624505,3.0437807183918197,0.553763844,
1980-01-01,3.035622351,,,1.588351395,5802833,0.000788667,1.008752173913044,3.038232670327834,-3.023931031,
1981-01-01,6.167957407,,,-0.958053595,5983289,0.000869583,0.8413245059288531,3.1097913725933513,3.035622351,
1982-01-01,-2.812782629,,,1.00746113,6178637,0.00092875,0.727045454545454,3.264893271911151,6.167957407,
1983-01-01,-1.966689298,,,0.773852004,6381038,0.001259,0.7646047430830039,3.2758195699148507,-2.812782629,
1984-01-01,-0.336834899,,,0.632464801,6580490,0.001813188,0.6664873517786557,3.1256983581668063,-1.966689298,
1985-01-01,1.615310368,,,2.286394686,6780953,0.003139642,0.6681577075098818,3.0463232981130517,-0.336834899,
1986-01-01,0.723893956,55.82822086,,1.700298625,6986471,0.007788449,0.6584845849802359,3.030812925557802,1.615310368,
1987-01-01,2.675661713,47.04724409,,3.288818807,7191282,0.009519475,0.8254264822134395,2.9315372524984395,0.723893956,55.82822086
1988-01-01,6.280749009,51.00401606,,2.502093023,7391440,0.008266025,1.2033837944664028,2.7833423859612294,2.675661713,47.04724409
1989-01-01,-1.023501789,123.4042553,,4.09795729,7589216,0.013813696,1.3114750000000002,2.675743833407296,6.280749009,51.00401606
1990-01-01,-0.481072028,107.0238095,244.3805364,6.164126081,7786169,0.030289108,1.2328735177865613,2.595169250684126,-1.023501789,123.4042553
1991-01-01,-0.036133384,97.64232317,277.530308,1.015752546,7981650,0.064639708,1.0897905138339914,2.5106185082805155,-0.481072028,107.0238095
1992-01-01,-1.730922174,165.706527,164.7007536,1.413844625,8176680,0.172213783,1.0719555118110238,2.4434797316344348,-0.036133384,97.64232317
1993-01-01,6.797274049,183.3120415,161.7860769,9.604383283,8373921,0.452762667,0.9144703557312256,2.4122382189348146,-1.730922174,165.706527
1994-01-01,-8.625441952,54.60132184,149.2098899,1.093850704,8576269,0.669370622,1.114642857142857,2.4164068421471896,6.797274049,183.3120415
1995-01-01,2.897668893,34.92958742,155.2792246,2.810624276,8785763,0.864119167,1.3634365079365065,2.442717223538571,-8.625441952,54.60132184
1996-01-01,6.218546489,43.073098,175.9344907,3.533283091,9004053,1.2079,1.0595275590551163,2.4845878496836393,2.897668893,34.92958742
1997-01-01,3.814007497,24.41872157,150.0725489,4.819569986,9237063,1.3144975,1.0358102766798414,2.5878346118131557,6.218546489,43.073098
1998-01-01,-0.385746146,24.45845635,161.2321579,5.596790361,9482408,1.862069167,0.7507142857142854,2.65609317593698,3.814007497,24.41872157
1999-01-01,4.650189746,26.78769668,,4.758708663,9740005,2.388019167,0.721992063492063,2.7165778987784606,-0.385746146,24.45845635
2000-01-01,3.897322943,26.03041179,,3.37996208,10017631,3.110844167,0.8394146825396833,2.850368146628268,4.650189746,26.78769668
2001-01-01,5.316868274,21.39378218,,3.541386708,10325185,3.610935,0.7247472222222224,3.070127058982308,3.897322943,26.03041179
2002-01-01,4.50601428,22.23334464,,7.114941362,10647949,4.398595,0.7164166666666666,3.1259875731040276,5.316868274,21.39378218
2003-01-01,6.944973982,21.40157839,,7.078931443,10983595,4.733271046,0.8110396825396824,3.1522126937309602,4.50601428,22.23334464
2004-01-01,7.032395115,17.96778911,,5.85168864,11338198,4.778875386,1.292115476190476,3.2284784717572013,6.944973982,21.40157839
2005-01-01,7.235599007,18.3244397,,4.284032189,11718819,4.465,1.6850218253968254,3.356979654086123,7.032395115,17.96778911
2006-01-01,7.903694445,9.019572472,,4.827128722,12129553,3.601666667,3.09960358565737,3.5049094964262117,7.235599007,18.3244397
2007-01-01,8.352436244,10.6573496,,9.418111673,12565085,4.001666667,3.229321115537849,3.5906681804350082,7.903694445,9.019572472
2008-01-01,7.773895815,12.44557935,,5.240508113,13021324,3.745,3.1313241106719367,3.6310060775553765,8.352436244,10.6573496
2009-01-01,9.220348406,13.39525463,,4.532779776,13490389,5.045,2.36418253968254,3.6022834544321203,7.773895815,12.44557935
2010-01-01,10.29822332,8.501761334,17.32151148,8.533196438,13965594,4.7975,3.4299166666666654,3.5225448280253424,9.220348406,13.39525463
2011-01-01,5.569252193,6.429396811,18.04990936,4.725161569,14437796,4.861666667,4.001228174603178,3.381180922200655,10.29822332,8.501761334
2012-01-01,7.597381049,6.575899708,23.48891928,6.789381241,14913629,5.1475,3.61201388888889,3.2957454170982947,5.569252193,6.429396811
2013-01-01,5.05753695,6.977676055,24.22399415,7.489325056,15398997,5.396483333,3.337426587301585,3.254526446916439,7.597381049,6.575899708
2014-01-01,4.693283164,7.806875536,44.39586759,5.555427918,15895315,6.154166667,3.118414682539683,3.223054072937348,5.05753695,6.977676055
2015-01-01,2.920375112,10.11059289,49.40734735,7.44741669,16399089,8.631666667,2.502823412698412,3.169323791318379,4.693283164,7.806875536
2016-01-01,3.755100317,17.86973008,46.43289359,3.162519748,16914423,10.3075,2.2039531249999995,3.1424550473504897,2.920375112,10.11059289
2017-01-01,3.525862771,6.577311542,52.28094184,4.280501171,17441320,9.5175,2.815612062256809,3.1150752230803214,3.755100317,17.86973008
2018-01-01,4.034493897,7.494571927,59.71222117,1.552318867,17973569,10.45833333,2.935858267716533,3.051655493964911,3.525862771,6.577311542
2019-01-01,1.441306026,9.150316443,61.93011737,2.350919043,18513839,12.89,2.7218488095238094,3.00591385049902,4.034493897,7.494571927
2020-01-01,-2.785055065,15.73306047,103.5431524,1.351905774,19059395,18.34409265,2.8012857707509875,2.9467470252928063,1.441306026,9.150316443
2021-01-01,6.234922047,22.02076762,71.41117617,1.784078461,19603607,20.01848659,4.244539607843136,2.855347716965828,-2.785055065,15.73306047
2022-01-01,5.211223604,10.99320392,,-0.223286755,20152938,16.93759433,3.9846075757575767,2.802193494289096,6.234922047,22.02076762
2023-01-01,5.367942855,10.88453169,,2.324653356,20723965,20.21201787,3.873045525291832,2.8334677554210597,5.211223604,10.99320392
2024-01-01,3.820048255,14.98562627,,9.324377897,21314956,26.16641878,4.215200000000003,2.851727456594344,5.367942855,10.88453169
